"ts_code","trade_date","open","high","low","close","pre_close","change","pct_chg","vol","amount"
"600519.SH","20090507","117.8","118.91","115.66","117.01","117.26","-0.25","-0.21","34723.62","406117.083"
"600519.SH","20090506","118.61","119","116.9","117.26","119.04","-1.78","-1.5","38064.62","447395.076"
"600519.SH","20090505","120","120.8","118.38","119.04","119.22","-0.18","-0.15","22690.54","270072.39"
"600519.SH","20090504","116.89","119.37","116.35","119.22","116.35","2.87","2.47","23555.51","278414.61"
"600519.SH","20090430","117.2","117.21","115","116.35","116.77","-0.42","-0.36","20514.48","238142.369"
"600519.SH","20090429","115.29","117.3","115.25","116.77","115.28","1.49","1.29","31077.15","360384.15"
"600519.SH","20090428","116.88","118.58","113.9","115.28","118.49","-3.21","-2.71","34307.33","395869.106"
"600519.SH","20090427","121.5","121.54","117.4","118.49","122.12","-3.63","-2.97","28670.31","339940.606"
"600519.SH","20090424","121.99","124.88","121.98","122.12","121.56","0.56","0.46","22719.87","280863.293"
"600519.SH","20090423","122.5","123.89","120","121.56","123.82","-2.26","-1.83","22497.01","274007.781"
"600519.SH","20090422","128.18","130.71","123.5","123.82","127.51","-3.69","-2.89","39706.1","504087.423"
"600519.SH","20090421","125.23","127.6","125.11","127.51","127.14","0.37","0.29","38927.7","492951.211"
"600519.SH","20090420","122.19","127.3","121.16","127.14","121.16","5.98","4.94","32419.49","406055.404"
"600519.SH","20090417","119.33","123.35","118.3","121.16","119.75","1.41","1.18","38309.56","466339.526"
"600519.SH","20090416","120.01","120.8","118.25","119.75","120.63","-0.88","-0.73","38632.41","462321.653"
"600519.SH","20090415","119.96","121.28","117.5","120.63","120.51","0.12","0.1","38361.63","457652.477"
"600519.SH","20090414","122.07","122.15","118.81","120.51","122.06","-1.55","-1.27","38023.77","457162.68"
"600519.SH","20090413","120.59","123.2","120.59","122.06","119.43","2.63","2.2","36687.76","448077.486"
"600519.SH","20090410","118.81","120.5","117.78","119.43","117.81","1.62","1.38","40630.61","484222.233"
"600519.SH","20090409","116.88","117.99","116.21","117.81","117.06","0.75","0.64","18351.85","214789.862"
"600519.SH","20090408","118","118.3","115.88","117.06","118","-0.94","-0.8","25653.13","299738.748"
